"ID","PredMonthlyInc"
871,5683.26335112783
872,2511.33686777518
873,13027.8268455086
874,2251.34910890435
875,2251.34910890435
876,5982.27469870846
877,5645.28081091777
878,2106.75048818917
879,2579.97040807024
880,14103.6927139128
881,9374.53636842326
882,2327.31418932448
883,5538.66473041265
884,5645.28081091777
885,5721.24589133789
886,6835.09429995208
887,6172.18739975876
888,6949.04192058227
889,5904.63958598972
890,2494.25838740495
891,6157.29580473549
892,9336.5538282132
893,9260.58874779308
894,5538.66473041265
895,9559.6000953737
896,10670.9659379627
897,9153.97266728796
898,15944.5197391686
899,5538.66473041265
900,2549.31940798524
901,2555.20943058484
902,5766.55997167301
903,5804.54251188308
904,2517.22689037478
905,15913.8687390836
906,5500.68219020259
907,9521.61755516364
908,7245.57070213769
909,2251.34910890435
910,2579.97040807024
911,17825.6167312932
912,2456.27584719488
913,2220.69810881935
914,12298.5608022083
915,7062.98954121245
916,5790.69196535954
917,2435.37178735506
918,5683.26335112783
919,2328.98422162309
920,2220.69810881935
921,2291.00168141303
922,2251.34910890435
923,6056.56974682997
924,6299.47902533056
925,15913.8687390836
926,2182.71556860929
927,5683.26335112783
928,10526.3673172475
929,2251.34910890435
930,2213.36656869429
931,5683.26335112783
932,10526.3673172475
933,9260.58874779308
934,2555.20943058484
935,2251.34910890435
936,2289.33164911441
937,9711.53025621395
938,10632.9833977526
939,6385.19104599586
940,2184.3856009079
941,2327.31418932448
942,9298.57128800314
943,9343.88536833826
944,6835.09429995208
945,2184.3856009079
946,5906.30961828834
947,2328.98422162309
948,2435.37178735506
949,2311.6772264797
950,5652.61235104283
951,2655.93548849036
952,5683.26335112783
953,5837.67607799327
954,2068.76794797911
955,6132.53482725009
956,9618.25818065044
957,10708.9484781728
958,2410.61080986966
959,9336.5538282132
960,17977.5468921334
961,2579.97040807024
962,6157.29580473549
963,5944.2921584984
964,6230.8454850355
965,2579.97040807024
966,17756.9831909981
967,2435.37178735506
968,9260.58874779308
969,15875.8861988735
970,2289.33164911441
971,5683.26335112783
972,5723.72845736309
973,2213.36656869429
974,2435.37178735506
975,6873.07684016214
976,2579.97040807024
977,5944.2921584984
978,2541.98786786018
979,10450.4022368274
980,19597.810216254
981,2146.40306069784
982,9153.97266728796
983,2334.64572944954
984,2146.40306069784
985,5652.61235104283
986,2511.33686777518
987,2541.98786786018
988,5797.21097175802
989,10450.4022368274
990,2541.98786786018
991,6192.86294482544
992,2579.97040807024
993,6033.60124386013
994,5835.19351196808
995,5538.66473041265
996,6012.69718402031
997,2541.98786786018
998,14217.6403345429
999,9450.50144884339
1000,2251.34910890435
1001,6337.46156554062
1002,5982.27469870846
1003,6119.31326452543
1004,7025.00700100239
1005,2701.24956882548
1006,5614.62981083277
1007,2184.3856009079
1008,6210.16993996882
1009,19491.1941357489
1010,5944.2921584984
1011,10784.9135585929
1012,6202.60988507061
1013,5538.66473041265
1014,5942.62212619979
1015,5690.59489125289
1016,2403.2792697446
1017,2068.76794797911
1018,9260.58874779308
1019,9153.97266728796
1020,2579.97040807024
1021,5645.28081091777
1022,5652.61235104283
1023,6423.17358620592
1024,9559.6000953737
1025,16096.4499000088
1026,19597.810216254
1027,6147.54886449032
1028,5538.66473041265
1029,5842.52505209314
1030,9952.76950241593
1031,5645.28081091777
1032,2456.27584719488
1033,10595.0008575426
1034,2435.37178735506
1035,5904.63958598972
1036,2579.97040807024
1037,5538.66473041265
1038,9686.8917209455
1039,10822.8960988029
1040,5875.65861820334
1041,2213.36656869429
1042,2655.93548849036
1043,9078.00758686784
1044,5683.26335112783
1045,2579.97040807024
1046,2251.34910890435
1047,7131.62308150751
1048,12450.4909630485
1049,2435.37178735506
1050,5873.17605217814
1051,10412.4196966173
1052,2106.75048818917
1053,5875.65861820334
1054,2587.3019481953
1055,2617.9529482803
1056,2403.2792697446
1057,7169.60562171757
1058,15989.8338195037
1059,6109.56632428025
1060,2541.98786786018
1061,6119.31326452543
1062,7017.67546087733
1063,5982.27469870846
1064,2328.98422162309
1065,5944.2921584984
1066,2251.34910890435
1067,2473.35432756512
1068,19567.159216169
1069,5645.28081091777
1070,2556.87946288345
1071,2450.26338237833
1072,6873.07684016214
1073,2328.98422162309
1074,5982.27469870846
1075,5652.61235104283
1076,16103.7814401339
1077,19529.1766759589
1078,5828.6745055696
1079,6271.24342536567
1080,6050.67972423037
1081,2617.9529482803
1082,2435.37178735506
1083,2328.98422162309
1084,5987.12367280832
1085,10557.0183173325
1086,9412.51890863332
1087,5683.26335112783
1088,2769.88310912055
1089,2541.98786786018
1090,5538.66473041265
1091,5538.66473041265
1092,5683.26335112783
1093,10595.0008575426
1094,5766.55997167301
1095,5906.30961828834
1096,7062.98954121245
1097,2473.35432756512
1098,2539.57246774007
1099,2106.75048818917
1100,7017.67546087733
1101,19415.2290553287
1102,5766.55997167301
1103,5759.22843154795
1104,9343.88536833826
1105,2617.9529482803
1106,2397.389247145
1107,2579.97040807024
1108,6040.93278398519
1109,5538.66473041265
1110,5645.28081091777
1111,5761.71099757315
1112,12481.1419631335
1113,12633.0721239738
1114,5759.22843154795
1115,9521.61755516364
1116,2397.389247145
1117,7055.65800108739
1118,5646.09334464436
1119,9377.01893444846
1120,2184.3856009079
1121,9374.53636842326
1122,16020.4848195887
1123,6157.29580473549
1124,16286.3626010592
1125,2397.389247145
1126,2146.40306069784
1127,2106.75048818917
1128,5949.95366632485
1129,15982.5022793787
1130,2251.34910890435
1131,10898.8611792231
1132,16027.8163597138
1133,5761.71099757315
1134,2106.75048818917
1135,2334.64572944954
1136,2251.34910890435
1137,2296.66318923948
1138,5500.68219020259
1139,9222.60620758302
1140,14172.3262542078
1141,5868.32707807828
1142,5645.28081091777
1143,9711.53025621395
1144,5683.26335112783
1145,6185.53140470038
1146,5804.54251188308
1147,5866.65704577966
1148,2372.6282696596
1149,2435.37178735506
1150,5906.30961828834
1151,2579.97040807024
1152,5759.22843154795
1153,6088.66226444043
1154,2106.75048818917
1155,6873.07684016214
1156,12992.3268713238
1157,2374.29830195821
1158,6126.64480465049
1159,2579.97040807024
1160,7207.58816192763
1161,2579.97040807024
1162,10564.3498574576
1163,2251.34910890435
1164,10564.3498574576
1165,2435.37178735506
1166,2106.75048818917
1167,9597.58263558377
1168,5500.68219020259
1169,2397.389247145
1170,2579.97040807024
